Search History,Recorded Accuracies,Recorded Losses,Recorded Latencies,Recorded Model Sizes,Recorded FLOPS
"[(16, 8), (16, 8)]",0.47261905670166016,"tensor(1.2069, grad_fn=<DivBackward0>)",1.3317312240600585,117,1.92 K
"[(16, 8), (8, 6)]",0.31607143793787273,"tensor(1.4612, grad_fn=<DivBackward0>)",1.1088576316833496,117,1.92 K
"[(16, 8), (8, 4)]",0.3761904835700989,"tensor(1.4007, grad_fn=<DivBackward0>)",1.1026176452636718,117,1.92 K
"[(16, 8), (4, 2)]",0.34523810765572954,"tensor(1.4049, grad_fn=<DivBackward0>)",0.9755135536193847,117,1.92 K
"[(8, 6), (16, 8)]",0.4285714456013271,"tensor(1.3946, grad_fn=<DivBackward0>)",0.9650239944458008,117,1.92 K
"[(8, 6), (8, 6)]",0.39047619913305553,"tensor(1.3525, grad_fn=<DivBackward0>)",0.9812928199768066,117,1.92 K
"[(8, 6), (8, 4)]",0.4464285799435207,"tensor(1.3556, grad_fn=<DivBackward0>)",0.9975232124328614,117,1.92 K
"[(8, 6), (4, 2)]",0.44523810488837107,"tensor(1.3406, grad_fn=<DivBackward0>)",0.9902463912963867,117,1.92 K
"[(8, 4), (16, 8)]",0.46666668142591206,"tensor(1.2558, grad_fn=<DivBackward0>)",0.975551986694336,117,1.92 K
"[(8, 4), (8, 6)]",0.5333333377327237,"tensor(1.2949, grad_fn=<DivBackward0>)",1.006764793395996,117,1.92 K
"[(8, 4), (8, 4)]",0.5234127044677734,"tensor(1.3038, grad_fn=<DivBackward0>)",1.0243647575378418,117,1.92 K
"[(8, 4), (4, 2)]",0.3839285799435207,"tensor(1.3025, grad_fn=<DivBackward0>)",1.227840042114258,117,1.92 K
"[(4, 2), (16, 8)]",0.5160714387893677,"tensor(1.3339, grad_fn=<DivBackward0>)",0.9422656059265136,117,1.92 K
"[(4, 2), (8, 6)]",0.5154761991330555,"tensor(1.3096, grad_fn=<DivBackward0>)",0.9922687530517578,117,1.92 K
"[(4, 2), (8, 4)]",0.5148809594767434,"tensor(1.3370, grad_fn=<DivBackward0>)",1.1161727905273438,117,1.92 K
"[(4, 2), (4, 2)]",0.4904761953013284,"tensor(1.2638, grad_fn=<DivBackward0>)",1.1192000389099122,117,1.92 K
