Search History,Recorded Accuracies,Recorded Losses,Recorded Latencies,Recorded Model Sizes,Recorded FLOPS
"[1, (1, 1), (1, 1), (1, 1), 1]",0.227976194449833,1.605,0.556281614303589,3.01 K,47.27 K
"[1, (1, 1), (1, 2), (2, 1), 1]",0.251349210739136,1.6107,0.578835201263428,5.45 K,85.67 K
"[1, (1, 1), (1, 4), (4, 1), 1]",0.164285718330315,1.6147,0.608767986297607,10.31 K,162.47 K
"[1, (1, 1), (1, 8), (8, 1), 1]",0.200000000851495,1.6066,0.62422399520874,20.04 K,316.07 K
"[1, (1, 1), (1, 16), (16, 1), 1]",0.228571429848671,1.6086,0.707788801193237,39.49 K,623.27 K
"[1, (1, 2), (2, 1), (1, 1), 1]",0.179761906819684,1.6122,0.623545598983765,5.61 K,88.49 K
"[1, (1, 2), (2, 2), (2, 1), 1]",0.164285715137209,1.6141,0.575072002410889,10.09 K,159.66 K
"[1, (1, 2), (2, 4), (4, 1), 1]",0.248809527073588,1.6076,0.689766407012939,19.05 K,301.99 K
"[1, (1, 2), (2, 8), (8, 1), 1]",0.327380959476743,1.6048,0.719059181213379,36.97 K,586.66 K
"[1, (1, 2), (2, 16), (16, 1), 1]",0.211904766304152,"tensor(1.6118, grad_fn=<DivBackward0>)",0.75284481048584,72.81 K,1.16 M
"[1, (1, 4), (4, 1), (1, 1), 1]",0.20000000510897,"tensor(1.6012, grad_fn=<DivBackward0>)",0.672563219070435,10.79 K,170.92 K
"[1, (1, 4), (4, 2), (2, 1), 1]",0.127976194024086,"tensor(1.6100, grad_fn=<DivBackward0>)",0.683251190185547,19.36 K,307.62 K
"[1, (1, 4), (4, 4), (4, 1), 1]",0.145238096160548,"tensor(1.6035, grad_fn=<DivBackward0>)",0.693862390518188,36.52 K,581.03 K
"[1, (1, 4), (4, 8), (8, 1), 1]",0.204761907458305,"tensor(1.6091, grad_fn=<DivBackward0>)",0.695679998397827,70.82 K,1.13 M
"[1, (1, 4), (4, 16), (16, 1), 1]",0.164285714072841,"tensor(1.6127, grad_fn=<DivBackward0>)",0.753260803222656,139.43 K,2.22 M
"[1, (1, 8), (8, 1), (1, 1), 1]",0.221428575260299,"tensor(1.6008, grad_fn=<DivBackward0>)",0.731129598617554,21.16 K,335.78 K
"[1, (1, 8), (8, 2), (2, 1), 1]",0.159523812787873,"tensor(1.6217, grad_fn=<DivBackward0>)",0.689951992034912,37.92 K,603.56 K
"[1, (1, 8), (8, 4), (4, 1), 1]",0.11547619423696,"tensor(1.6101, grad_fn=<DivBackward0>)",0.689267206192017,71.46 K,1.14 M
"[1, (1, 8), (8, 8), (8, 1), 1]",0.15000000170299,"tensor(1.6145, grad_fn=<DivBackward0>)",0.767404794692993,138.53 K,2.21 M
"[1, (1, 8), (8, 16), (16, 1), 1]",0.159523811723505,"tensor(1.6181, grad_fn=<DivBackward0>)",0.732582378387451,272.68 K,4.35 M
"[1, (1, 16), (16, 1), (1, 1), 1]",0.132142862038953,"tensor(1.5975, grad_fn=<DivBackward0>)",0.783155202865601,41.89 K,665.51 K
"[1, (1, 16), (16, 2), (2, 1), 1]",0.042857143495764,"tensor(1.6160, grad_fn=<DivBackward0>)",0.771737623214722,75.05 K,1.2 M
"[1, (1, 16), (16, 4), (4, 1), 1]",0.185714289546013,"tensor(1.6086, grad_fn=<DivBackward0>)",0.732959985733032,141.35 K,2.26 M
"[1, (1, 16), (16, 8), (8, 1), 1]",0.235714288694518,"tensor(1.5942, grad_fn=<DivBackward0>)",0.710342407226563,273.96 K,4.37 M
"[1, (1, 16), (16, 16), (16, 1), 1]",0.227619051933289,"tensor(1.5767, grad_fn=<DivBackward0>)",0.733241605758667,539.17 K,8.61 M
